tarikh,nama_kluster,kategori_kluster,daerah
2021-05-13,Jalan Lilin,Komuniti,Lawas
2021-05-13,Tanjung Rimau,Keagamaan,Alor Gajah
2021-05-13,Kongsi Lapan,Komuniti,Tawau
2021-05-13,Jalan Chain Ferry,Tempat Kerja,Seberang Perai Tengah
2021-05-13,Jalan Chain Ferry,Tempat Kerja,Seberang Perai Utara
2021-05-13,Jalan Keretapi Lama,Tempat Kerja,Kuala Selangor
2021-05-13,Jalan Tropika Industri,Tempat Kerja,Johor Bahru
2021-05-13,Lima Jalan Kebun,Tempat Kerja,Klang
2021-05-13,Lima Jalan Kebun,Tempat Kerja,Kuala Langat
2021-05-13,Jalan Suasa Industri,Tempat Kerja,Johor Bahru
2021-05-14,Lebuh Katz,Kumpulan Berisiko Tinggi,Timur Laut
2021-05-14,Lebuh Lembah Permai,Pendidikan,Seberang Perai Tengah
2021-05-14,Lebuh Lembah Permai,Pendidikan,Timur Laut
2021-05-14,Lebuh Lembah Permai,Pendidikan,Barat Daya
2021-05-14,Jalan Tegas,Pendidikan,Petaling
2021-05-14,Jalan Tegas,Pendidikan,Gombak
2021-05-14,Jalan Tegas,Pendidikan,Klang
2021-05-14,Jalan Tegas,Pendidikan,Hulu Langat
2021-05-14,Kampung Batu Muda,Keagamaan,Kepong
2021-05-14,Jalan Mawar Pasak,Komuniti,Kota Tinggi
2021-05-14,Sungai Rayah,Komuniti,Meradong
2021-05-14,Dah Mahsuri,Keagamaan,Kubang Pasu
2021-05-14,Bukit Pauh,Komuniti,Dungun
2021-05-14,Bukit Pauh,Komuniti,Kuala Nerus
2021-05-14,Bukit Pauh,Komuniti,Kuala Terengganu
2021-05-14,Bukit Pauh,Komuniti,Kuantan
2021-05-14,Bukit Pauh,Komuniti,Petaling
2021-05-14,Persiaran Utara,Tempat Kerja,Kota Tinggi
2021-05-14,Menara Jalan Putra,Tempat Kerja,Kuantan
2021-05-14,Tanjung Dungun,Tempat Kerja,Setiu
2021-05-14,Tanjung Dungun,Tempat Kerja,Marang
2021-05-14,Tanjung Dungun,Tempat Kerja,Kuala Terengganu
2021-05-14,Tanjung Dungun,Tempat Kerja,Kuala Nerus
2021-05-14,Tanjung Dungun,Tempat Kerja,Kemaman
2021-05-14,Tanjung Dungun,Tempat Kerja,Dungun
2021-05-14,Tanjung Dungun,Tempat Kerja,Besut
2021-05-14,Jalan Perindustrian Balakong,Tempat Kerja,Hulu Langat
2021-05-14,Sungai Lebai,Komuniti,Pekan
2021-05-15,Persiaran Lavender,Keagamaan,Seremban
2021-05-15,Persiaran Lavender,Keagamaan,Kuala Pilah
2021-05-15,Jalan Sultan Azlan Shah,Kumpulan Berisiko Tinggi,Timur Laut
2021-05-15,Jalan Sultan Azlan Shah,Kumpulan Berisiko Tinggi,Barat Daya
2021-05-15,Impian Indah,Pendidikan,Gombak
2021-05-15,Impian Indah,Pendidikan,Petaling
2021-05-15,Jalan Alsagoff,Pendidikan,Pontian
2021-05-15,Jalan Keramat Wangsa,Keagamaan,Titiwangsa
2021-05-15,Jalan Telipot,Keagamaan,Kota Bharu
2021-05-15,Jalan Telipot,Keagamaan,Bachok
2021-05-15,Kemunting,Keagamaan,Kuantan
2021-05-15,Jalan Tey Mia Jen,Tempat Kerja,Muar
2021-05-15,Jalan Perindustrian Tiga,Tempat Kerja,Muar
2021-05-15,Jalan Bertingkat Skudai,Tempat Kerja,Johor Bahru
2021-05-15,Perusahaan Maju Lapan,Tempat Kerja,Seberang Perai Tengah
2021-05-15,Tapak Bina Persiaran Stonor,Tempat Kerja,Lembah Pantai
2021-05-15,Jalan Kilang Midah,Tempat Kerja,Cheras
2021-05-15,Jalan Kilang Midah,Tempat Kerja,Lembah Pantai
2021-05-15,Jalan Kilang Midah,Tempat Kerja,Hulu Langat
2021-05-15,Sungai Pinang Tujuh,Tempat Kerja,Klang
2021-05-15,Lebuh Sultan,Tempat Kerja,Klang
2021-05-16,Jalan Menteri,Keagamaan,Kota Kinabalu
2021-05-16,Jalan Menteri,Keagamaan,Penampang
2021-05-16,Parit Lintang,Keagamaan,Batu Pahat
2021-05-16,Parit Lintang,Keagamaan,Johor Bahru
2021-05-16,Jalan Semabok,Tempat Kerja,Melaka Tengah
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Petaling
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Klang
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Hulu Langat
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Sepang
2021-05-16,Jalan Abdul Hamid,Komuniti,Kinta
2021-05-16,Kampung Terusan,Komuniti,Kota Bharu
2021-05-16,Gugusan Alam,Pendidikan,Kuala Selangor
2021-05-16,Tanah Lesen,Pendidikan,Sabak Bernam
2021-05-16,Tanah Lesen,Pendidikan,Petaling
2021-05-16,Tanah Lesen,Pendidikan,Klang
2021-05-16,Jalan Benut Kluang,Pendidikan,Kluang
2021-05-16,Jalan Sungai Panjang,Pendidikan,Sabak Bernam
2021-05-16,Kampung Boyan,Komuniti,Kuching
2021-05-17,Parit Kassan Jegol,Keagamaan,Batu Pahat
2021-05-17,Dah Serdang,Tempat Kerja,Bandar Baharu
2021-05-17,Dah Serdang,Tempat Kerja,Kulim
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Petaling
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Kuala Selangor
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Klang
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Hulu Langat
2021-05-17,Jalan Kuak Luar,Keagamaan,Hulu Perak
2021-05-17,Jalan Kuak Luar,Keagamaan,Cheras
2021-05-17,Sungai Langgas,Keagamaan,Kunak
2021-05-17,Kundang Jaya,Keagamaan,Gombak
2021-05-17,Jalan Kusta,Tempat Kerja,Gombak
2021-05-17,Jalan Kusta,Tempat Kerja,Petaling
2021-05-17,Jalan Jambusan,Komuniti,Kuching
2021-05-17,Jalan Jambusan,Komuniti,Bau
2021-05-17,Taman Jati,Komuniti,Bera
2021-05-17,Taman Jati,Komuniti,Bentong
2021-05-17,Kampung Paya Teh,Komuniti,Jerantut
2021-05-17,Kampung Perah,Komuniti,Pasir Mas
2021-05-17,Kampung Kual,Komuniti,Pasir Mas
2021-05-17,Taman Repek,Komuniti,Pasir Mas
2021-05-17,Jalan Imam Jalilul,Komuniti,Tawau
2021-05-18,Jambu Bongkok,Komuniti,Marang
2021-05-18,Jambu Bongkok,Komuniti,Dungun
2021-05-18,Seri Sutra,Komuniti,Kinta
2021-05-18,Jelang,Komuniti,Betong
2021-05-18,Hulu Spaoh,Komuniti,Betong
2021-05-18,Hulu Spaoh,Komuniti,Samarahan
2021-05-18,Gong Badak,Pendidikan,Kuala Nerus
2021-05-18,Gong Badak,Pendidikan,Kuala Terengganu
2021-05-18,Gong Badak,Pendidikan,Besut
2021-05-18,Jalan Lima Belas,Pendidikan,Cheras
2021-05-18,Jalan Lima Belas,Pendidikan,Lembah Pantai
2021-05-18,Jalan Lima Belas,Pendidikan,Hulu Langat
2021-05-18,Jalan Lima Belas,Pendidikan,Petaling
