tarikh,nama_kluster,kategori_kluster,negeri
2021-05-22,Melikai,Komuniti,Sabah
2021-05-22,Melikai,Komuniti,WP Labuan
2021-05-22,Indani,Komuniti,Sabah
2021-05-22,Abaka,Komuniti,Sabah
2021-05-22,Redong Satu,Komuniti,Johor
2021-05-22,Kepulauan Tumpat,Komuniti,Kelantan
2021-05-22,Kampung Bakong Kecil,Komuniti,Kelantan
2021-05-22,Industri Batu Berendam,Tempat Kerja,Melaka
2021-05-22,Jalan Bypass Kuantan,Tempat Kerja,Pahang
2021-05-22,Sungai Batu,Tempat Kerja,Pahang
2021-05-22,Industri Nibong Tebal,Tempat Kerja,Pulau Pinang
2021-05-22,Jalan Pantai Port Dickson,Tempat Kerja,Negeri Sembilan
2021-05-22,Jalan Laman Setia Tujuh,Tempat Kerja,Johor
2021-05-22,Jalan Cemerlang Empat,Tempat Kerja,Selangor
2021-05-22,Taman Kesang Indah,Komuniti,Melaka
2021-05-22,Taman Kesang Indah,Komuniti,Johor
2021-05-23,Jalan Mangga,Komuniti,Sabah
2021-05-23,Kampung Jakar,Komuniti,Kelantan
2021-05-23,Taman Sourabaya Indah,Komuniti,Sarawak
2021-05-23,Kampung Panggong,Komuniti,Kelantan
2021-05-23,Permai Sejahtera,Keagamaan,Pahang
2021-05-23,Parit Dato Onn,Keagamaan,Johor
2021-05-23,Dah Seri Perigi,Keagamaan,Kedah
2021-05-23,Taman Majupadu,Keagamaan,Johor
2021-05-23,Jalan Temiang,Kumpulan Berisiko Tinggi,Negeri Sembilan
2021-05-23,Terendak Permai,Keagamaan,Melaka
2021-05-23,Kampung Paroh,Komuniti,Terengganu
2021-05-23,Jalan Desa Satu,Keagamaan,Selangor
2021-05-23,Jarum Laut,Komuniti,Johor
2021-05-23,Bukit Temedak,Komuniti,Sarawak
2021-05-23,Jalan Kempas Dua,Tempat Kerja,Johor
2021-05-23,Jalan Bukit Puchong,Tempat Kerja,Selangor
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Selangor
2021-05-23,Jalan Enam Selatan,Tempat Kerja,WP Kuala Lumpur
2021-05-23,Jalan Enam Selatan,Tempat Kerja,WP Putrajaya
2021-05-23,Jalan Enam Selatan,Tempat Kerja,Negeri Sembilan
2021-05-23,Industri Bukit Minyak,Tempat Kerja,Pulau Pinang
2021-05-23,Persiaran Cassia Selatan Dua,Tempat Kerja,Pulau Pinang
2021-05-23,Jalan Kilang Ubi,Tempat Kerja,Pulau Pinang
2021-05-23,Jalan Perindustrian Lima,Tempat Kerja,Johor
2021-05-23,Bandar Jalan Putra,Tempat Kerja,Pahang
2021-05-23,Simpang Juasseh,Komuniti,Negeri Sembilan
2021-05-23,Kemuning Tujuh,Tempat Kerja,Selangor
2021-05-24,Dermaga Sembilan,Import,Johor
2021-05-24,Kampung Pangkal Payung,Komuniti,Kelantan
2021-05-24,Jalan Jed,Kumpulan Berisiko Tinggi,Selangor
2021-05-24,Kilometer Enam Jalan Lipis,Pendidikan,Pahang
2021-05-24,Kilometer Enam Jalan Lipis,Pendidikan,WP Kuala Lumpur
2021-05-24,Landai Permai,Keagamaan,WP Kuala Lumpur
2021-05-24,Jalan Ehsan Jaya,Keagamaan,Johor
2021-05-24,Patau – Patau,Komuniti,WP Labuan
2021-05-24,Taman Teratai,Komuniti,Pahang
2021-05-24,Kampung Padawan,Komuniti,Sabah
2021-05-24,Taman Setia Jaya,Keagamaan,Negeri Sembilan
2021-05-24,Jalan Akik,Komuniti,Johor
2021-05-24,Jalan Bestari Satu,Tempat Kerja,Selangor
2021-05-24,Jalan Dato Sellathevan Empat,Tempat Kerja,Selangor
2021-05-24,Wakaf Tembesu,Tempat Kerja,Terengganu
2021-05-24,Jalan Tengkorak,Tempat Kerja,Selangor
2021-05-24,Jalan Perindustrian Bukit Minyak,Tempat Kerja,Pulau Pinang
2021-05-24,Jalan Usaha Tujuh,Tempat Kerja,Melaka
2021-05-24,Industri Pengkalan Balak,Tempat Kerja,Melaka
2021-05-24,Jalan Todak,Tempat Kerja,Pulau Pinang
2021-05-24,Deluxe,Komuniti,Sabah
2021-05-25,Industri Kledang Satu,Tempat Kerja,Perak
2021-05-25,Desa Pinggiran Putra,Keagamaan,Selangor
2021-05-25,Jalan Sekuntum,Komuniti,Johor
2021-05-25,Jalan Selendang,Komuniti,Johor
2021-05-25,Jalan Dato Permaisuri,Komuniti,Sarawak
2021-05-25,Jalan Tahir Manan,Komuniti,Selangor
2021-05-25,Sungai Isap Perdana,Tempat Kerja,Pahang
2021-05-25,Sungai Isap Perdana,Tempat Kerja,Selangor
2021-05-25,Kalabakan Selatan,Tempat Kerja,Sabah
2021-05-25,Perusahaan Maju Enam,Tempat Kerja,Pulau Pinang
2021-05-25,Jalan Segambut Lentang,Tempat Kerja,WP Kuala Lumpur
2021-05-25,Tasek Raja,Tempat Kerja,Kelantan
2021-05-25,Jalan Cemerlang Elektrik,Tempat Kerja,Johor
2021-05-25,Jalan Enam Selatan 1A,Tempat Kerja,Selangor
2021-05-25,Tapak Bina Persiaran Setia Dagang,Tempat Kerja,Selangor
2021-05-25,Dah Charok Bemban,Tempat Kerja,Kedah
2021-05-26,Kampung Semerah Padi,Komuniti,Sarawak
2021-05-26,Bandar Lama Machang,Komuniti,Kelantan
2021-05-26,Kampung Kenjong,Komuniti,Kelantan
2021-05-26,Sungai Pukul,Komuniti,Sabah
2021-05-26,Lestari Mewah,Keagamaan,Selangor
2021-05-26,Kauran Durok,Komuniti,Sabah
2021-05-26,Jalan Harmoni Utama,Keagamaan,Johor
2021-05-26,Industri Kampung Tersang,Tempat Kerja,Pahang
2021-05-26,Delima Raya,Komuniti,Pahang
2021-05-26,Jalan IKA,Tempat Kerja,Perak
2021-05-26,Chat Lipis,Keagamaan,Pahang
2021-05-26,Perusahaan Maju Sepuluh,Tempat Kerja,Pulau Pinang
2021-05-26,Kampung Tun       Abdul Razak,Tempat Kerja,Selangor
2021-05-26,Jalan Bersatu,Tempat Kerja,Selangor
2021-05-26,Meranti Jaya 2,Tempat Kerja,Selangor
2021-05-26,Jalan Sukma,Tempat Kerja,Sarawak
2021-05-26,Jalan Cassia       Selatan Lima,Tempat Kerja,Pulau Pinang
2021-05-26,Jalan Satu Ayer Hitam,Tempat Kerja,Johor
2021-05-26,Jalan Tengar Industri,Tempat Kerja,Johor
2021-05-26,Jalan Temenggung Dua,Tempat Kerja,Johor
2021-05-26,Industri Zon Dagang Satu,Tempat Kerja,Pulau Pinang
2021-05-26,Jalan Bukit Satu,Tempat Kerja,Johor
2021-05-27,Sri Mahang,Tempat Kerja,Kelantan
2021-05-27,Jalan Kolej Yayasan,Pendidikan,Melaka
2021-05-27,DTI Tanah Merah,Pusat Tahanan,Kelantan
2021-05-27,Jalan Cenderawasih,Keagamaan,Perak
2021-05-27,Jalan Syawal,Keagamaan,Pahang
2021-05-27,Tebuk Binjai,Keagamaan,Selangor
2021-05-27,Batu Sepuluh Jalan Gambang,Tempat Kerja,Pahang
2021-05-27,Taman Shamelin,Tempat Kerja,WP Kuala Lumpur
2021-05-27,Jalan Tahana Industri,Tempat Kerja,Johor
2021-05-27,Selumit,Tempat Kerja,Sarawak
2021-05-27,Persiaran Kuala 2,Tempat Kerja,Selangor
2021-05-27,Beg Berkunci,Tempat Kerja,Selangor
2021-05-27,Desa Ranggu,Komuniti,Sabah
2021-05-27,Kampung Banggol Petaling,Komuniti,Kelantan
2021-05-27,Telok Kemunting,Komuniti,Kelantan
2021-05-27,Sri Sentosa,Komuniti,Kelantan
2021-05-27,Jalan Rusa Waha,Komuniti,Johor
2021-05-27,Serom Lima,Komuniti,Johor
2021-05-27,Jalan Wawasan Tanjung,Komuniti,Johor
2021-05-27,Jalan Pinang 39,Komuniti,Johor
2021-05-28,Jalan Kampung Bukit,Keagamaan,Pulau Pinang
2021-05-28,Jalan Seroja Kepis,Keagamaan,Negeri Sembilan
2021-05-28,Seksyen Dua,Keagamaan,WP Kuala Lumpur
2021-05-28,Sri Gombak Lapan,Pendidikan,Selangor
2021-05-28,DTI Bukit Jalil 2,Pusat Tahanan,WP Kuala Lumpur
2021-05-28,Bukit Ilmu,Pendidikan,Kelantan
2021-05-28,Tawar Empat,Kumpulan Berisiko Tinggi,Johor
2021-05-28,Kampung Chubadak,Keagamaan,WP Kuala Lumpur
2021-05-28,Dah Pinang,Pendidikan,Kedah
2021-05-28,Tanjung Kepah,Komuniti,Perak
2021-05-28,Jalan Satu Olak,Tempat Kerja,Selangor
2021-05-28,Dah Emas Suria,Komuniti,Kedah
2021-05-28,Kampung Teliar,Komuniti,Kelantan
2021-05-28,Kampung Chekok,Komuniti,Kelantan
2021-05-28,Persiaran Sepang Sebelas,Komuniti,Selangor
2021-05-28,Perusahaan Valdor,Tempat Kerja,Pulau Pinang
2021-05-28,Jalan Hospital Tampoi,Tempat Kerja,Johor
2021-05-28,Tapak Bina        Wangsa Perdana,Tempat Kerja,WP Kuala Lumpur
2021-05-28,Kemumin,Tempat Kerja,Kelantan
2021-05-28,Perusahaan Satu    Batu Caves,Tempat Kerja,Selangor
2021-05-28,Jalan Padi,Komuniti,Negeri Sembilan
2021-05-29,Site BC Sekinchan,Komuniti,Selangor
2021-05-29,Sungai Sian,Komuniti,Sarawak
2021-05-29,Jalan Damai Tangkak,Komuniti,Johor
2021-05-29,Jalan Ng Song Teik,Pendidikan,Perak
2021-05-29,Simpang Sungai,Komuniti,WP Labuan
2021-05-29,Paya Terbakar,Komuniti,Pulau Pinang
2021-05-29,Kampung Baru Bentong,Komuniti,Pahang
2021-05-29,Kampung Matang,Komuniti,Terengganu
2021-05-29,Taman Asean Dua,Keagamaan,Melaka
2021-05-29,Dah Kedawang,Komuniti,Kedah
2021-05-29,Rengas Jaya,Keagamaan,Perak
2021-05-29,Industri Jalan Lapan,Tempat Kerja,Kelantan
2021-05-29,Jalan Bagan Ajam,Keagamaan,Pulau Pinang
2021-05-29,Trolak Utara,Keagamaan,Perak
2021-05-29,Persiaran Tiga Selayang,Tempat Kerja,Selangor
2021-05-29,Bukit Permai Utama Tiga,Tempat Kerja,Selangor
2021-05-29,Industri Jalan Berlian,Tempat Kerja,Johor
2021-05-29,Jalan Teknokrat Lima,Tempat Kerja,Selangor
2021-05-29,Jalan Klinik Pasir Puteh,Tempat Kerja,Kelantan
2021-05-29,Industri Batu 16 Bemban,Tempat Kerja,Melaka
2021-05-29,Patuma,Keagamaan,Sabah
2021-05-29,Taman Desa Harmoni,Keagamaan,Johor
